Title,The_Paper_Moon_Conspiracy,gpt-5.5
Author,Barış Kısır,gpt-5.5
Language,en,gpt-5.5
Chapters,50,gpt-5.5
Word Count,24456,gpt-5.5
TXT,The_Paper_Moon_Conspiracy/txt/The_Paper_Moon_Conspiracy.txt,gpt-5.5
EPUB,The_Paper_Moon_Conspiracy/epub/The_Paper_Moon_Conspiracy.epub,gpt-5.5
Cover,The_Paper_Moon_Conspiracy/covers/The_Paper_Moon_Conspiracy.png,gpt-5.5
Outline,The_Paper_Moon_Conspiracy/planning/The_Paper_Moon_Conspiracy_outline.md,gpt-5.5
Metadata,The_Paper_Moon_Conspiracy/metadata/The_Paper_Moon_Conspiracy_metadata.json,gpt-5.5
